Node Index, Amplitude of Voltage, Angle of Voltage
1,1.025000,-0.278701
2,0.982900,-0.181467
3,1.052200,-0.083718
4,1.010000,-0.181552
5,1.050000,-0.386089
6,1.000000,-0.454900
7,1.040000,-0.224065
8,1.000000,-0.431077
9,1.016500,-0.250158
10,1.000000,-0.253695
11,1.050000,-0.272862
12,1.023649,-0.389581
13,1.025387,-0.328968
14,1.025467,0.012509
15,1.028298,-0.056232
16,1.010351,-0.303595
17,1.001811,-0.237486
18,0.977595,-0.399781
19,0.945029,-0.600422
20,1.000500,-0.626036
21,0.974397,-0.483336
22,1.015627,-0.386939
23,1.085622,-0.466173
24,0.971870,-0.478848
25,1.108034,-0.292466
26,1.012876,0.058093
27,1.026189,-0.139950
28,1.050700,0.173599
29,1.050700,0.204448
30,1.032300,0.223467
31,1.014500,0.074539
32,1.014500,0.192789
33,1.050700,-0.178272
34,1.050700,0.093166
35,1.029000,0.205215
36,1.050000,0.020227
37,1.014500,-0.242463
38,1.050700,0.000000
39,0.996700,-0.134885
40,1.021200,-0.064194
41,1.014500,0.026421
42,1.001700,0.088947
43,0.989300,-0.418519
44,1.050700,0.315647
45,1.050700,0.036785
46,1.014500,0.520121
47,0.965405,-0.368562
48,0.970955,-0.364679
49,0.965423,-0.348647
50,0.966260,-0.347155
51,0.973360,-0.411939
52,0.984656,-0.393992
53,0.970650,-0.416869
54,1.036492,-0.352065
55,0.990577,-0.383738
56,0.998802,-0.378306
57,0.996711,-0.374686
58,0.980176,-0.402710
59,1.002732,-0.355383
60,0.990327,-0.373270
61,1.003620,-0.358162
62,1.000000,-0.334160
63,1.012698,-0.295489
64,1.000000,-0.122010
65,1.000000,-0.134077
66,1.013529,-0.341983
67,1.018265,-0.333438
68,0.987800,-0.331093
69,1.040524,-0.312903
70,1.049887,0.067313
71,1.034518,0.108298
72,1.006074,0.036542
73,1.020500,0.010564
74,0.998500,-0.022073
75,1.013296,-0.093599
76,1.074162,-0.223734
77,0.997970,-0.047495
78,1.030918,0.009668
79,0.989240,-0.101819
80,1.094172,-0.146503
81,1.041758,-0.375477
82,1.099751,-0.112198
83,1.031290,-0.208758
84,1.045556,-0.303895
85,0.999768,-0.110462
86,0.985740,-0.098858
87,1.080995,-0.174072
88,0.955626,-0.229149
89,0.978166,-0.585831
90,1.004029,-0.412907
91,0.998318,-0.301917
92,1.000000,-0.248997
93,1.003979,-0.497418
94,1.016939,-0.431566
95,0.973982,-0.241924
96,1.025019,-0.226800
97,0.947772,-0.091426
98,0.993597,0.091136
99,1.060226,-0.129589
100,1.055000,-0.120670
101,1.031736,-0.022271
102,1.052800,0.135144
103,1.073500,0.079975
104,0.996165,0.095865
105,1.011814,0.058583
106,1.053500,0.140565
107,0.975388,-0.058198
108,0.963000,0.062965
109,1.013282,-0.224000
110,1.059849,0.127488
111,1.088739,0.257686
112,1.138619,0.030247
113,1.064717,0.376430
114,1.033097,0.438776
115,0.987248,-0.129417
116,0.929000,-0.011176
117,1.007700,0.005424
118,0.995830,-0.063997
119,1.063311,-0.082982
120,0.974340,0.100773
121,1.054945,-0.128499
122,1.065000,0.027128
123,1.065000,0.013924
124,1.043500,0.222917
125,0.950228,-0.180380
126,0.961322,-0.423554
127,0.994550,-0.489064
128,1.008586,-0.417933
129,1.012662,-0.363399
130,1.042831,-0.480522
131,1.011357,-0.424786
132,0.995195,-0.371124
133,1.000000,-0.369925
134,0.998929,-0.374192
135,1.045703,-0.358883
136,1.068951,-0.386043
137,1.010161,-0.344162
138,1.024019,-0.330237
139,1.010000,-0.312525
140,0.992298,-0.328931
141,0.979475,-0.421740
142,0.998039,-0.275650
143,0.981472,-0.410885
144,1.017326,-0.331644
145,1.000000,-0.304683
146,1.031974,0.089514
147,1.023014,0.067591
148,1.015300,0.030970
149,1.075030,-0.058956
150,0.991285,0.006341
151,1.011540,-0.047412
152,1.058782,-0.224161
153,1.099855,-0.208940
154,1.028395,-0.393592
155,1.030370,-0.278380
156,1.054854,-0.146005
157,1.053093,-0.282254
158,0.996803,-0.067859
159,0.958300,-0.309483
160,0.983880,-0.442214
161,0.963200,-0.435079
162,1.001299,-0.397539
163,1.011774,-0.141253
164,1.071683,-0.352674
165,1.047584,-0.194151
166,1.048680,-0.195149
167,1.052000,-0.159358
168,1.052000,-0.104551
169,1.009940,-0.168572
170,1.012757,-0.248415
171,1.036757,-0.207081
172,1.004744,-0.298309
173,1.026914,-0.275108
174,0.990000,-0.343851
175,1.005796,-0.495927
176,0.997253,-0.226450
177,1.011432,-0.313540
178,1.023300,-0.240154
179,1.010300,-0.323837
180,1.018713,-0.093522
181,1.017536,-0.086785
182,1.014353,0.039814
183,1.055166,-0.150039
184,1.083119,0.006722
